Date;Time;Tape_name;Position;Mode;HV;Reprate;Shutter;Counter;CounterNewFill;TubeTemp;Trigger;Egy;Pressure;Sigma;OPMode;CurrentStatus;Run_ID;Process_id;Reel_Start;Reel_end;RunTime
3/10/2020;21:30:59;#875_410-21;409.988;EGY NGR;1.72;200;OPEN;317167571;65412604;42.1;INT;649.98;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:0;#875_410-21;409.974;EGY NGR;1.72;200;OPEN;317167571;65412604;42.1;INT;649.98;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:1;#875_410-21;409.96;EGY NGR;1.72;200;OPEN;317168154;65413183;42.0;INT;649.98;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:2;#875_410-21;409.947;EGY NGR;1.72;200;OPEN;317168154;65413183;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:3;#875_410-21;409.933;EGY NGR;1.72;200;OPEN;317168154;65413183;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:4;#875_410-21;409.919;EGY NGR;1.72;200;OPEN;317168758;65413789;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:5;#875_410-21;409.905;EGY NGR;1.72;200;OPEN;317168758;65413789;42.0;INT;649.95;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:6;#875_410-21;409.891;EGY NGR;1.72;200;OPEN;317168758;65413789;42.0;INT;649.95;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:7;#875_410-21;409.877;EGY NGR;1.72;200;OPEN;317169350;65414379;42.0;INT;649.95;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:8;#875_410-21;409.864;EGY NGR;1.72;200;OPEN;317169350;65414379;42.0;INT;650.10;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:9;#875_410-21;409.85;EGY NGR;1.72;200;OPEN;317169350;65414379;42.0;INT;650.10;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:10;#875_410-21;409.836;EGY NGR;1.72;200;OPEN;317169953;65414986;42.0;INT;650.10;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:11;#875_410-21;409.822;EGY NGR;1.72;200;OPEN;317169953;65414986;42.0;INT;649.97;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:12;#875_410-21;409.808;EGY NGR;1.72;200;OPEN;317170542;65414986;42.0;INT;649.97;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:13;#875_410-21;409.794;EGY NGR;1.72;200;OPEN;317170542;65415573;42.0;INT;649.97;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:14;#875_410-21;409.78;EGY NGR;1.72;200;OPEN;317170542;65415573;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:15;#875_410-21;409.767;EGY NGR;1.72;200;OPEN;317170542;65415573;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:16;#875_410-21;409.753;EGY NGR;1.72;200;OPEN;317171151;65416180;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:17;#875_410-21;409.739;EGY NGR;1.72;200;OPEN;317171151;65416180;42.0;INT;650.02;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:18;#875_410-21;409.725;EGY NGR;1.72;200;OPEN;317171744;65416180;42.0;INT;650.02;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:19;#875_410-21;409.711;EGY NGR;1.72;200;OPEN;317171744;65416772;42.0;INT;650.02;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:20;#875_410-21;409.697;EGY NGR;1.72;200;OPEN;317171744;65416772;42.0;INT;650.00;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:21;#875_410-21;409.683;EGY NGR;1.72;200;OPEN;317171744;65416772;42.0;INT;650.00;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:22;#875_410-21;409.67;EGY NGR;1.72;200;OPEN;317172358;65417387;42.0;INT;650.00;3945;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:23;#875_410-21;409.656;EGY NGR;1.72;200;OPEN;317172358;65417387;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:24;#875_410-21;409.642;EGY NGR;1.72;200;OPEN;317172949;65417387;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:25;#875_410-21;409.628;EGY NGR;1.72;200;OPEN;317172949;65417978;42.0;INT;650.01;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:26;#875_410-21;409.614;EGY NGR;1.72;200;OPEN;317172949;65417978;42.0;INT;649.99;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:27;#875_410-21;409.6;EGY NGR;1.72;200;OPEN;317172949;65417978;42.0;INT;649.99;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:28;#875_410-21;409.586;EGY NGR;1.72;200;OPEN;317173564;65418593;42.0;INT;649.99;3944;0.53;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:29;#875_410-21;409.573;EGY NGR;1.72;200;OPEN;317173564;65418593;42.0;INT;649.97;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:30;#875_410-21;409.558;EGY NGR;1.72;200;OPEN;317174147;65418593;42.0;INT;649.97;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:31;#875_410-21;409.545;EGY NGR;1.72;200;OPEN;317174147;65419177;42.0;INT;649.97;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:32;#875_410-21;409.531;EGY NGR;1.72;200;OPEN;317174147;65419177;42.0;INT;650.08;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:33;#875_410-21;409.517;EGY NGR;1.72;200;OPEN;317174746;65419177;42.0;INT;650.08;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:34;#875_410-21;409.503;EGY NGR;1.72;200;OPEN;317174746;65419775;42.0;INT;650.08;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:35;#875_410-21;409.49;EGY NGR;1.72;200;OPEN;317174746;65419775;42.0;INT;650.03;3944;0.55;ON,0;Norma;1030;600;2064;0;0
3/10/2020;21:31:36;#875_410-21;409.476;EGY NGR;1.72;200;OPEN;317175346;65419775;42.0;INT;650.03;3944;0.55;ON,0;Norma;1030;600;2064;0;0
